t,v
5.060000000000044906e+01,7.199999999999999734e-01
5.070000000000045048e+01,7.900000000000000355e-01
5.080000000000045191e+01,6.899999999999999467e-01
5.090000000000045333e+01,5.799999999999999600e-01
5.100000000000045475e+01,5.799999999999999600e-01
5.110000000000045617e+01,5.500000000000000444e-01
5.120000000000045759e+01,3.499999999999999778e-01
5.130000000000045901e+01,2.899999999999999800e-01
5.140000000000046043e+01,2.000000000000000111e-01
5.150000000000046185e+01,1.900000000000000022e-01
5.160000000000046327e+01,1.199999999999999956e-01
5.170000000000046469e+01,7.000000000000000666e-02
5.180000000000046612e+01,-5.000000000000000278e-02
5.190000000000046754e+01,-8.000000000000000167e-02
5.200000000000046896e+01,-1.600000000000000033e-01
5.210000000000047038e+01,-1.700000000000000122e-01
5.220000000000047180e+01,-2.600000000000000089e-01
5.230000000000047322e+01,-3.900000000000000133e-01
5.240000000000047464e+01,-5.400000000000000355e-01
5.250000000000047606e+01,-7.700000000000000178e-01
5.260000000000047748e+01,-9.599999999999999645e-01
5.270000000000047891e+01,-1.129999999999999893e+00
5.280000000000048033e+01,-1.219999999999999973e+00
5.290000000000048175e+01,-1.419999999999999929e+00
5.300000000000048317e+01,-1.600000000000000089e+00
5.310000000000048459e+01,-1.620000000000000107e+00
5.320000000000048601e+01,-1.699999999999999956e+00
5.330000000000048743e+01,-1.770000000000000018e+00
5.340000000000048885e+01,-1.750000000000000000e+00
5.350000000000049027e+01,-1.729999999999999982e+00
5.360000000000049170e+01,-1.780000000000000027e+00
5.370000000000049312e+01,-1.760000000000000009e+00
5.380000000000049454e+01,-1.800000000000000044e+00
5.390000000000049596e+01,-1.870000000000000107e+00
5.400000000000049738e+01,-1.959999999999999964e+00
5.410000000000049880e+01,-1.969999999999999973e+00
5.420000000000050022e+01,-1.979999999999999982e+00
5.430000000000050164e+01,-2.020000000000000018e+00
5.440000000000050306e+01,-1.909999999999999920e+00
5.450000000000050449e+01,-1.899999999999999911e+00
5.460000000000050591e+01,-1.709999999999999964e+00
5.470000000000050733e+01,-1.719999999999999973e+00
5.480000000000050875e+01,-1.750000000000000000e+00
5.490000000000051017e+01,-1.810000000000000053e+00
5.500000000000051159e+01,-1.870000000000000107e+00
5.510000000000051301e+01,-1.820000000000000062e+00
5.520000000000051443e+01,-1.810000000000000053e+00
5.530000000000051585e+01,-1.830000000000000071e+00
5.540000000000051728e+01,-1.790000000000000036e+00
5.550000000000051870e+01,-1.800000000000000044e+00
5.560000000000052012e+01,-1.780000000000000027e+00
5.570000000000052154e+01,-1.830000000000000071e+00
5.580000000000052296e+01,-1.750000000000000000e+00
5.590000000000052438e+01,-1.840000000000000080e+00
5.600000000000052580e+01,-1.770000000000000018e+00
5.610000000000052722e+01,-1.729999999999999982e+00
5.620000000000052864e+01,-1.679999999999999938e+00
5.630000000000053006e+01,-1.620000000000000107e+00
5.640000000000053149e+01,-1.520000000000000018e+00
5.650000000000053291e+01,-1.590000000000000080e+00
5.660000000000053433e+01,-1.600000000000000089e+00
5.670000000000053575e+01,-1.719999999999999973e+00
5.680000000000053717e+01,-1.760000000000000009e+00
5.690000000000053859e+01,-1.870000000000000107e+00
